episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
0,40,0.942812145,1.232230527,-68.08308546,-15,0.6,1,1,FALSE,TRUE,7.504008931,11,23.1182218,20.492,in_progress,0
0,41,0.951180393,1.196821652,-69.35090842,0,0.6,2,1,FALSE,TRUE,7.610076543,12,23.1182218,20.558,in_progress,0
0,42,0.963405582,1.147497078,-70.70946164,-30,0.6,0,0.4,FALSE,TRUE,7.759976901,12,23.1182218,20.619,in_progress,0
0,43,0.972189258,1.106416057,-71.70250403,15,0.6,3,0.5,FALSE,TRUE,7.840224748,12,23.1182218,20.694,in_progress,0
0,44,0.981119636,1.062978474,-72.90050283,-15,0.6,1,0.5,FALSE,TRUE,7.840224748,12,23.1182218,20.769,in_progress,0
0,45,0.992612862,1.016610737,-73.49989439,15,0.6,3,0.5,FALSE,TRUE,7.938369863,12,23.1182218,20.814,in_progress,0
0,46,0.998985868,0.979265317,-74.4829194,-15,0.6,1,0.1,FALSE,TRUE,8.013997819,12,23.1182218,20.883,in_progress,0
0,47,1.006091037,0.941077001,-75.25584718,15,0.6,3,0.1,FALSE,TRUE,8.093755747,12,23.1182218,20.957,in_progress,0
0,48,1.016460902,0.886809683,-76.11616247,-30,0.6,0,0.08,FALSE,TRUE,8.208220131,13,23.1182218,21.03,in_progress,0
0,49,1.024074029,0.842769281,-76.79788549,-30,0.6,0,0.08,FALSE,TRUE,8.297808103,13,23.1182218,21.087,in_progress,0
0,50,1.029662915,0.808812814,-77.37005036,15,0.6,3,0.1,FALSE,TRUE,8.365725538,13,23.1182218,21.175,in_progress,0
0,51,1.035176336,0.761116437,-78.52775352,15,0.6,3,0.1,FALSE,TRUE,8.451499951,13,23.1182218,21.226,in_progress,0
0,52,1.03973154,0.722713516,-79.23680352,30,0.6,4,0.08,FALSE,TRUE,8.492890777,13,23.1182218,21.309,in_progress,0
0,53,1.047350992,0.680446951,-79.34898941,0,0.6,2,0.001,FALSE,FALSE,8.492890777,13,23.1182218,21.359,in_progress,0
0,54,1.055259052,0.646761716,-78.975944,15,0.6,3,0.001,FALSE,FALSE,8.492890777,13,23.1182218,21.436,in_progress,0
0,55,1.073687567,0.589037053,-77.37686999,-30,0.6,0,0.0008,FALSE,FALSE,8.492890777,13,23.1182218,21.498,in_progress,0
0,56,1.085048941,0.552849469,-76.64436527,30,0.6,4,0.0008,FALSE,FALSE,8.492890777,13,23.1182218,21.55,in_progress,0
0,57,1.100582859,0.507109496,-75.57889924,-30,0.6,0,0.0008,FALSE,FALSE,8.492890777,13,23.1182218,21.624,in_progress,0
0,58,1.112459465,0.476690472,-74.53489528,-30,0.6,0,0.0008,FALSE,FALSE,8.560342885,13,23.1182218,21.687,in_progress,0
0,59,1.125711706,0.433667101,-74.21843917,30,0.6,4,0.0008,TRUE,FALSE,8.640657548,13,23.1182218,21.767,off_track,0
1,1,0.660188413,1.594225168,-62.58627235,-30,0.6,0,0,FALSE,TRUE,0.604138661,9,23.1182218,21.89,prepare,0
1,2,0.660120116,1.594259151,-62.59417972,30,0.6,4,0.8,FALSE,TRUE,0.603854792,9,23.1182218,21.955,in_progress,0
1,3,0.664523365,1.586527032,-62.55710443,-15,0.6,1,1,FALSE,TRUE,0.642282636,9,23.1182218,22.02,in_progress,0
1,4,0.677044929,1.567694585,-61.99773524,-15,0.6,1,1,FALSE,TRUE,0.740099227,9,23.1182218,22.096,in_progress,0
1,5,0.695448854,1.537751336,-61.47756374,15,0.6,3,1,FALSE,TRUE,0.886968022,9,23.1182218,22.161,in_progress,0
1,6,0.712286062,1.508626483,-61.25793623,0,0.6,2,1,FALSE,TRUE,1.030269708,9,23.1182218,22.231,in_progress,0
1,7,0.741607178,1.463875408,-60.28879501,-30,0.6,0,0.8,FALSE,TRUE,1.260059331,10,23.1182218,22.301,in_progress,0
1,8,0.761374306,1.431340266,-60.0165168,-30,0.6,0,0.8,FALSE,TRUE,1.422807979,10,23.1182218,22.355,in_progress,0
1,9,0.780130234,1.391027445,-60.92181874,15,0.6,3,1,FALSE,TRUE,1.578210965,10,23.1182218,22.442,in_progress,0
1,10,0.799530025,1.349626014,-61.64879625,-30,0.6,0,0.8,FALSE,TRUE,1.75765446,10,23.1182218,22.488,in_progress,0
1,11,0.816366813,1.311695941,-62.11056278,-30,0.6,0,0.8,FALSE,TRUE,1.918950867,11,23.1182218,22.564,in_progress,0
1,12,0.83555922,1.26013216,-63.69956699,30,0.6,4,0.8,FALSE,TRUE,2.125982024,11,23.1182218,22.622,in_progress,0
1,13,0.850037447,1.222605368,-64.55381615,0,0.6,2,0.5,FALSE,TRUE,2.187599933,11,23.1182218,22.679,in_progress,0
1,14,0.862034964,1.188143168,-65.3824202,0,0.6,2,0.5,FALSE,TRUE,2.291305932,11,23.1182218,22.771,in_progress,0
1,15,0.877043201,1.145466561,-66.33119076,0,0.6,2,0.5,FALSE,TRUE,2.437753155,11,23.1182218,22.825,in_progress,0
1,16,0.892398284,1.106902135,-66.63940722,15,0.6,3,0.5,FALSE,TRUE,2.576867573,12,23.1182218,22.901,in_progress,0
1,17,0.911642455,1.059283252,-66.90608331,0,0.6,2,0.5,FALSE,TRUE,2.749717649,12,23.1182218,22.954,in_progress,0
