episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
0,1.0,0.32249722469909003,2.691372917274125,-84.00607495570645,30.0,0.6,4,0.0,False,True,0.6055829085685216,1,23.11822180235112,3.568,prepare,0.0
0,2.0,0.32249722469909003,2.691372917274125,-84.00607495570645,30.0,0.6,4,1.0,False,True,0.6055829085685216,1,23.11822180235112,3.676,in_progress,0.0
0,3.0,0.32396876835811,2.686767262129639,-83.77660180994393,30.0,0.6,4,1.0,False,True,0.6260608630107212,1,23.11822180235112,3.75,in_progress,0.0
0,4.0,0.3272566161032453,2.674559741889177,-83.32497959957591,30.0,0.6,4,1.0,False,True,0.68051898164403,1,23.11822180235112,3.7960000000000003,in_progress,0.0
0,5.0,0.3319505692520819,2.660895109615033,-82.56302450869052,30.0,0.6,4,1.0,False,True,0.7418992644017209,1,23.11822180235112,3.912,in_progress,0.0
0,6.0,0.3614554169265374,2.6028982027337855,-77.6019754694651,0.0,0.6,2,1.0,False,True,1.0082613763666042,2,23.11822180235112,3.959,in_progress,0.0
0,7.0,0.37569549617639436,2.577504920767287,-75.58903594038318,0.0,0.6,2,1.0,False,True,1.125691242899202,2,23.11822180235112,4.045,in_progress,0.0
0,8.0,0.40453420322309425,2.5278694192123807,-72.04699983043996,0.0,0.6,2,1.0,False,True,1.3670841677375538,2,23.11822180235112,4.092,in_progress,0.0
0,9.0,0.42332441203007287,2.4990295702031586,-69.8867174266274,0.0,0.6,2,1.0,False,True,1.5047174003958184,2,23.11822180235112,4.15,in_progress,0.0
0,10.0,0.4449395635901822,2.4651732174264027,-67.82375913205033,0.0,0.6,2,1.0,False,True,1.6659361198820661,3,23.11822180235112,4.227,in_progress,0.0
0,11.0,0.47368189924668297,2.4228983892170493,-65.35894908672074,0.0,0.6,2,1.0,False,True,1.8686448206809072,3,23.11822180235112,4.2780000000000005,in_progress,0.0
0,12.0,0.4950089368059336,2.3933942681774725,-63.68368840284052,0.0,0.6,2,0.5,False,True,2.0323711451086983,3,23.11822180235112,4.331,in_progress,0.0
0,13.0,0.5150733123942769,2.3647194511828196,-62.44692716394433,0.0,0.6,2,0.5,False,True,2.172723507368579,3,23.11822180235112,4.396,in_progress,0.0
0,14.0,0.5513096597061018,2.313377490804504,-60.55039850985317,0.0,0.6,2,0.5,False,True,2.4243252060606255,4,23.11822180235112,4.468,in_progress,0.0
0,15.0,0.5694734005240026,2.2897332582135994,-59.53843771567385,-30.0,0.6,0,0.5,False,True,2.5416271472217407,4,23.11822180235112,4.516,in_progress,0.0
0,16.0,0.5869954304874445,2.2635468531019454,-59.01573444429766,-30.0,0.6,0,0.5,False,True,2.6972608583957944,4,23.11822180235112,4.626,in_progress,0.0
0,17.0,0.625185921839611,2.202037907376327,-58.75874824050031,-30.0,0.6,0,0.5,False,True,2.9970619396872773,5,23.11822180235112,4.673,in_progress,0.0
0,18.0,0.6394979071114366,2.1733985002631715,-59.37986220964319,-30.0,0.6,0,0.5,False,True,3.132760838251673,5,23.11822180235112,4.755,in_progress,0.0
0,19.0,0.6583347012238651,2.12237730942294,-61.568359184138785,-30.0,0.6,0,0.5,False,True,3.415707120052115,5,23.11822180235112,4.844,in_progress,0.0
0,20.0,0.6763287181971758,2.0656327810419572,-64.10892749019479,0.0,0.6,2,0.5,False,True,3.673197763099804,6,23.11822180235112,4.916,in_progress,0.0
0,21.0,0.6899171172740729,2.0094004544325266,-66.80231747817923,0.0,0.6,2,0.5,False,True,3.9907371988946254,6,23.11822180235112,4.934,in_progress,0.0
0,22.0,0.6899171172740729,2.0094004544325266,-66.80231747817923,30.0,0.6,4,0.5,False,True,3.9907371988946254,6,23.11822180235112,5.026,in_progress,0.0
0,23.0,0.706147707904446,1.9530030021975286,-68.4377492163324,30.0,0.6,4,0.5,False,True,4.243029710474133,6,23.11822180235112,5.12,in_progress,0.0
0,24.0,0.7351887513045451,1.880766269161696,-68.2706240219638,30.0,0.6,4,0.5,False,True,4.654823399984666,7,23.11822180235112,5.214,in_progress,0.0
0,25.0,0.7566047376813371,1.841478876146772,-67.0116787441843,30.0,0.6,4,0.5,False,True,4.848331703740037,7,23.11822180235112,5.28,in_progress,0.0
0,26.0,0.7820696411968764,1.8050126883726103,-64.85651498147192,30.0,0.6,4,0.5,False,True,5.039067728654927,8,23.11822180235112,5.328,in_progress,0.0
0,27.0,0.8019578273949677,1.7808834070726534,-62.94284226245674,30.0,0.6,4,0.5,False,True,5.171325096589102,8,23.11822180235112,5.455,in_progress,0.0
0,28.0,0.8688997908842875,1.7143166339214828,-56.65986695312804,30.0,0.6,4,0.5,False,True,5.658235899729922,9,23.11822180235112,5.466,in_progress,0.0
0,29.0,0.8688997908842875,1.7143166339214828,-56.65986695312804,30.0,0.6,4,0.5,False,True,5.658235899729922,9,23.11822180235112,5.524,in_progress,0.0
0,30.0,0.9017756207557853,1.68869808781947,-53.411345685699025,30.0,0.6,4,0.5,False,True,5.9613922834166635,9,23.11822180235112,5.645,in_progress,0.0
0,31.0,0.97781171937553,1.6436268090564938,-45.96961576504934,0.0,0.6,2,0.1,False,True,6.322259592446396,10,23.11822180235112,5.692,in_progress,0.0
0,32.0,1.0095321771092702,1.6294301159822442,-42.790988645185614,0.0,0.6,2,0.1,False,True,6.674697181194758,10,23.11822180235112,5.727,in_progress,0.0
0,33.0,1.0326894565305662,1.6197623506717513,-40.677022641530314,0.0,0.6,2,0.1,False,True,6.778293619227033,10,23.11822180235112,5.815,in_progress,0.0
